"","Name","Score2008","Score2014","Score2021","EarlyNAflag","LaterNAflag","Scorechange","lon","lat","address"
"123","Seven Acre Park      , Edinburgh, Scotland",NA,70,82,NA,NA,12,-3.1755556,55.9075,"seven acre park, stanedykehead, edinburgh, alnwickhill eh16 6tn, uk"
"124","Sighthill Park       , Edinburgh, Scotland",NA,56,65,NA,NA,9,-3.281209,55.921837,"sighthill park, edinburgh eh11, uk"
"125","Silverknowes Park Recreation Ground     , Edinburgh, Scotland",NA,52,60,NA,NA,8,-3.27246,55.971451,"silverknowes, edinburgh eh4 5ha, uk"
"126","Sir Harry Lauder Garden     , Edinburgh, Scotland",NA,64,NA,NA,1,NA,-3.1128859,55.9500937,"sir harry lauder rd, edinburgh, uk"
"127","Spylaw Park       , Edinburgh, Scotland",NA,62,71,NA,NA,9,-3.2671316,55.9080746,"spylaw park, edinburgh eh13, uk"
"128","St Katharines      , Edinburgh, Scotland",NA,68,75,NA,NA,7,-3.1627142,55.9041342,"st katharine's cres, edinburgh eh16, uk"
"129","St Margarets Park     , Edinburgh, Scotland",NA,70,71,NA,NA,1,-3.2850248,55.9397425,"st margaret’s park, corstorphine, edinburgh eh12 7sz, uk"
"130","St Marks Park         , Edinburgh, Scotland",NA,56,65,NA,NA,9,-3.194585,55.9688468,"st marks park, warriston rd, edinburgh eh7 4hn, uk"
"131","St Patricks Square Garden     , Edinburgh, Scotland",NA,57,67,NA,NA,10,-3.1836588,55.9432716,"st patrick square, newington, edinburgh eh8, uk"
"132","Starbank Park     , Edinburgh, Scotland",NA,63,89,NA,NA,26,-3.2010942,55.9795153,"starbank park, newhaven, edinburgh eh5, uk"
"133","Station Road Pk     , Edinburgh, Scotland",NA,66,72,NA,NA,6,-3.2788713,55.9407635,"station rd, corstorphine, edinburgh eh12, uk"
"134","Stenhouse Place Park       , Edinburgh, Scotland",NA,43,67,NA,NA,24,-3.2607689,55.9317884,"stenhouse pl w, edinburgh eh11, uk"
"135","Straiton Place Park      , Edinburgh, Scotland",NA,58,62,NA,NA,4,-3.1095141,55.9543761,"straiton place park, 18- uk, 49 promenade, portobello, edinburgh eh15 2ba, uk"
"136","Taylor Garden        , Edinburgh, Scotland",NA,55,70,NA,NA,15,-3.1764906,55.9741417,"taylor gardens, leith, edinburgh eh6 6tg, uk"
"137","The Meadows and BLeith Links      , Edinburgh, Scotland",NA,71,74,NA,NA,3,-3.1639694,55.9710389,"leith links, 4 links gardens, leith, edinburgh eh6 7eb, uk"
"138","Union Park City Park West     , Edinburgh, Scotland",NA,50,63,NA,NA,13,-3.2762782,55.9358976,"union park, edinburgh eh12, uk"
"139","Victoria Park City Park     , Edinburgh, Scotland",NA,67,76,NA,NA,9,-3.1934813,55.975007,"victoria park, 141 newhaven rd, edinburgh eh6 4qa, uk"
"140","West Pilton Park     , Edinburgh, Scotland",NA,53,63,NA,NA,10,-3.2458327,55.9719278,"w pilton park, edinburgh eh4, uk"
"141","Whinhill Park       , Edinburgh, Scotland",NA,51,65,NA,NA,14,-3.271985,55.927589,"whinhill, greenock pa15 3aq, uk"
"142","White Park       , Edinburgh, Scotland",NA,57,68,NA,NA,11,-3.2323003,55.9375348,"white park, edinburgh eh11, uk"
